Date,Production (kWh),maxtempC,mintempC,sunHour,cloudcover,tempC,FeelsLikeC,humidity,windSpeedKmph,precipMM,weatherDesc
2018-05-02 05:15:00,0.0,20,14,14.0,6,14,15,77,6,0.0,Clear
2018-05-02 05:30:00,0.0,20,14,14.0,6,14,15,77,6,0.0,Clear
2018-05-02 05:45:00,0.0,20,14,14.0,6,14,15,77,6,0.0,Clear
2018-05-02 06:00:00,0.0,20,14,14.0,6,15,15,74,5,0.0,Sunny
2018-05-02 06:15:00,0.0,20,14,14.0,6,15,15,74,5,0.0,Sunny
2018-05-02 06:30:00,0.0,20,14,14.0,6,15,15,74,5,0.0,Sunny
2018-05-02 06:45:00,0.0,20,14,14.0,6,15,15,74,5,0.0,Sunny
2018-05-02 07:00:00,0.0,20,14,14.0,5,16,16,71,5,0.0,Sunny
2018-05-02 07:15:00,0.0,20,14,14.0,5,16,16,71,5,0.0,Sunny
2018-05-02 07:30:00,10.0,20,14,14.0,5,16,16,71,5,0.0,Sunny
2018-05-02 07:45:00,40.0,20,14,14.0,5,16,16,71,5,0.0,Sunny
2018-05-02 08:00:00,0.0,20,14,14.0,5,16,17,68,5,0.0,Sunny
2018-05-02 08:15:00,0.0,20,14,14.0,5,16,17,68,5,0.0,Sunny
2018-05-02 08:30:00,10.0,20,14,14.0,5,16,17,68,5,0.0,Sunny
2018-05-02 08:45:00,30.0,20,14,14.0,5,16,17,68,5,0.0,Sunny
2018-05-02 09:00:00,30.0,20,14,14.0,4,17,17,64,5,0.0,Sunny
2018-05-02 09:15:00,10.0,20,14,14.0,4,17,17,64,5,0.0,Sunny
2018-05-02 09:30:00,40.0,20,14,14.0,4,17,17,64,5,0.0,Sunny
2018-05-02 09:45:00,30.0,20,14,14.0,4,17,17,64,5,0.0,Sunny
2018-05-02 10:00:00,60.0,20,14,14.0,4,18,18,62,6,0.0,Sunny
2018-05-02 10:15:00,50.0,20,14,14.0,4,18,18,62,6,0.0,Sunny
2018-05-02 10:30:00,30.0,20,14,14.0,4,18,18,62,6,0.0,Sunny
2018-05-02 10:45:00,90.0,20,14,14.0,4,18,18,62,6,0.0,Sunny
2018-05-02 11:15:00,180.0,20,14,14.0,3,19,19,59,8,0.0,Sunny
2018-05-02 11:30:00,150.0,20,14,14.0,3,19,19,59,8,0.0,Sunny
2018-05-02 11:45:00,150.0,20,14,14.0,3,19,19,59,8,0.0,Sunny
2018-05-02 12:00:00,210.0,20,14,14.0,3,19,19,57,9,0.0,Sunny
2018-05-02 12:15:00,200.0,20,14,14.0,3,19,19,57,9,0.0,Sunny
2018-05-02 12:30:00,200.0,20,14,14.0,3,19,19,57,9,0.0,Sunny
2018-05-02 12:45:00,260.0,20,14,14.0,3,19,19,57,9,0.0,Sunny
2018-05-02 13:00:00,190.0,20,14,14.0,9,19,19,59,11,0.0,Sunny
2018-05-02 13:15:00,260.0,20,14,14.0,9,19,19,59,11,0.0,Sunny
2018-05-02 13:30:00,230.0,20,14,14.0,9,19,19,59,11,0.0,Sunny
2018-05-02 13:45:00,220.0,20,14,14.0,9,19,19,59,11,0.0,Sunny
2018-05-02 14:00:00,250.0,20,14,14.0,14,19,19,61,12,0.0,Sunny
2018-05-02 14:15:00,210.0,20,14,14.0,14,19,19,61,12,0.0,Sunny
2018-05-02 14:30:00,200.0,20,14,14.0,14,19,19,61,12,0.0,Sunny
2018-05-02 14:45:00,250.0,20,14,14.0,14,19,19,61,12,0.0,Sunny
2018-05-02 15:00:00,190.0,20,14,14.0,19,19,19,63,14,0.0,Sunny
2018-05-02 15:15:00,240.0,20,14,14.0,19,19,19,63,14,0.0,Sunny
2018-05-02 15:30:00,170.0,20,14,14.0,19,19,19,63,14,0.0,Sunny
2018-05-02 15:45:00,220.0,20,14,14.0,19,19,19,63,14,0.0,Sunny
2018-05-02 16:00:00,160.0,20,14,14.0,25,19,19,68,14,0.0,Sunny
2018-05-02 16:15:00,160.0,20,14,14.0,25,19,19,68,14,0.0,Sunny
2018-05-02 16:30:00,150.0,20,14,14.0,25,19,19,68,14,0.0,Sunny
2018-05-02 16:45:00,130.0,20,14,14.0,25,19,19,68,14,0.0,Sunny
2018-05-02 17:00:00,160.0,20,14,14.0,30,18,18,74,14,0.0,Partly cloudy
2018-05-02 17:15:00,140.0,20,14,14.0,30,18,18,74,14,0.0,Partly cloudy
2018-05-02 17:30:00,120.0,20,14,14.0,30,18,18,74,14,0.0,Partly cloudy
2018-05-02 17:45:00,50.0,20,14,14.0,30,18,18,74,14,0.0,Partly cloudy
2018-05-02 18:00:00,90.0,20,14,14.0,36,17,17,79,14,0.0,Partly cloudy
2018-05-02 18:15:00,60.0,20,14,14.0,36,17,17,79,14,0.0,Partly cloudy
2018-05-02 18:30:00,10.0,20,14,14.0,36,17,17,79,14,0.0,Partly cloudy
2018-05-02 18:45:00,0.0,20,14,14.0,36,17,17,79,14,0.0,Partly cloudy
2018-05-02 19:00:00,10.0,20,14,14.0,46,17,17,80,13,0.0,Partly cloudy
2018-05-02 19:15:00,10.0,20,14,14.0,46,17,17,80,13,0.0,Partly cloudy
2018-05-02 19:30:00,10.0,20,14,14.0,46,17,17,80,13,0.0,Partly cloudy
2018-05-02 19:45:00,0.0,20,14,14.0,46,17,17,80,13,0.0,Partly cloudy
2018-05-02 20:00:00,0.0,20,14,14.0,57,16,16,80,12,0.0,Partly cloudy
2018-05-02 20:15:00,0.0,20,14,14.0,57,16,16,80,12,0.0,Partly cloudy
2018-05-02 20:30:00,0.0,20,14,14.0,57,16,16,80,12,0.0,Partly cloudy
2018-05-02 20:45:00,0.0,20,14,14.0,57,16,16,80,12,0.0,Partly cloudy
2018-05-02 21:00:00,0.0,20,14,14.0,67,16,16,81,10,0.0,Cloudy
2018-05-02 21:15:00,0.0,20,14,14.0,67,16,16,81,10,0.0,Cloudy
2018-05-02 21:30:00,0.0,20,14,14.0,67,16,16,81,10,0.0,Cloudy
2018-05-02 21:45:00,0.0,20,14,14.0,67,16,16,81,10,0.0,Cloudy
2018-05-03 04:55:00,0.0,22,15,14.0,9,15,15,80,6,0.0,Clear
2018-05-03 05:00:00,0.0,22,15,14.0,9,16,16,77,6,0.0,Clear
2018-05-03 05:15:00,0.0,22,15,14.0,9,16,16,77,6,0.0,Clear
2018-05-03 05:30:00,0.0,22,15,14.0,9,16,16,77,6,0.0,Clear
2018-05-03 05:45:00,0.0,22,15,14.0,9,16,16,77,6,0.0,Clear
2018-05-03 06:00:00,0.0,22,15,14.0,8,16,16,74,5,0.0,Sunny
2018-05-03 06:15:00,0.0,22,15,14.0,8,16,16,74,5,0.0,Sunny
2018-05-03 06:30:00,0.0,22,15,14.0,8,16,16,74,5,0.0,Sunny
2018-05-03 06:45:00,0.0,22,15,14.0,8,16,16,74,5,0.0,Sunny
2018-05-03 07:00:00,0.0,22,15,14.0,8,17,17,70,6,0.0,Sunny
2018-05-03 07:15:00,30.0,22,15,14.0,8,17,17,70,6,0.0,Sunny
2018-05-03 07:30:00,10.0,22,15,14.0,8,17,17,70,6,0.0,Sunny
2018-05-03 07:45:00,30.0,22,15,14.0,8,17,17,70,6,0.0,Sunny
2018-05-03 08:00:00,50.0,22,15,14.0,7,18,18,66,6,0.0,Sunny
2018-05-03 08:15:00,40.0,22,15,14.0,7,18,18,66,6,0.0,Sunny
2018-05-03 08:30:00,60.0,22,15,14.0,7,18,18,66,6,0.0,Sunny
2018-05-03 08:45:00,70.0,22,15,14.0,7,18,18,66,6,0.0,Sunny
2018-05-03 09:00:00,90.0,22,15,14.0,7,19,19,62,6,0.0,Sunny
2018-05-03 09:15:00,80.0,22,15,14.0,7,19,19,62,6,0.0,Sunny
2018-05-03 09:30:00,100.0,22,15,14.0,7,19,19,62,6,0.0,Sunny
2018-05-03 09:45:00,130.0,22,15,14.0,7,19,19,62,6,0.0,Sunny
2018-05-03 10:00:00,150.0,22,15,14.0,6,20,20,60,9,0.0,Sunny
2018-05-03 10:15:00,120.0,22,15,14.0,6,20,20,60,9,0.0,Sunny
2018-05-03 10:30:00,160.0,22,15,14.0,6,20,20,60,9,0.0,Sunny
2018-05-03 10:45:00,190.0,22,15,14.0,6,20,20,60,9,0.0,Sunny
2018-05-03 11:00:00,170.0,22,15,14.0,6,21,21,57,11,0.0,Sunny
